Tavolo&Sbagliato&1
Tanica_Benzina&Sbagliato&2
Cacciavite&Sbagliato&1
Cartello_Accesso_Addetti&Sbagliato&1
Cartello_Uscita&Sbagliato&1
Macchia_Olio&Sbagliato&1
Pinze&Sbagliato&1
Parent door&Sbagliato&1
