Tavolo&Corretto&2
Tanica_Benzina&Corretto&1
Cacciavite&Corretto&2
Cartello_Accesso_Addetti&Corretto&2
Cartello_Uscita&Corretto&2
Macchia_Olio&Corretto&2
Pinze&Corretto&2
Parent door&Corretto&2
