TYPE&NAME&ID&ROTATING AXIS x&ROTATING AXIS y&ROTATING AXIS z&TOTAL STATUS&ACTION&DESCRIPTION
PressureGauge&Manometro GAS 1&23C&NULL&NULL&NULL&NULL&gaze + speech&Manometro  indica il valore corrente della pressione del carburante
PressureGauge&Manometro GAS2&20C&NULL&NULL&NULL&NULL&gaze + speech&Manometro  indica il valore corrente della pressione del carburante
Valvola&Valvola controllo manometro GAS2 a&20A&1&0&0&2&gaze + speech&valvola controllo manometro 
Valvola&Valvola controllo manometro GAS2 b&20B&1&0&0&2&gaze + speech&valvola controllo manometro 
Valvola&Valvola Aria primaria&17A&0&0&1&2&gaze + speech&valvola aria primaria
Valvola&Valvola ingresso aria1&14A&0&0&1&2&gaze + speech&valvola aria ????
Valvola&Valvola ingresso aria2&14B&0&0&1&2&gaze + speech&valvola aria ????
Valvola&Valvola sfiato 1&12A&0&0&1&2&gaze + speech&valvola sfiato aria ????
Valvola&Valvola sfiato 2&12B&0&0&1&2&gaze + speech&valvola sfiato aria ????
Valvola&Valvola sfiato 3&12C&0&0&1&2&gaze + speech&valvola sfiato aria ????
Valvola&Valvola a torce pilota 1&11A&1&0&0&2&gaze + speech&valvola  aria a torce pilota????
Valvola&Valvola a torce pilota 2&11B&1&0&0&2&gaze + speech&valvola  aria a torce pilota????
Valvola&Valvola a torce pilota 3&11C&1&0&0&2&gaze + speech&valvola  a sbarramento aria ????
Valvola&Valvola sbarramento 1&11D&1&0&0&2&gaze + speech&valvola  aria a torce pilota????
Valvola&Valvola scarico pareti 1&10A&1&0&0&2&gaze + speech&valvola scarico acqua????
Valvola&Valvola scarico pareti 2&10B&1&0&0&2&gaze + speech&valvola scarico acqua????
Valvola&Valvole di esclusione del livello ottico 1-1&26B&1&0&0&2&gaze + speech&Valvola carico livello ottico dell’acqua presente nel serbatoio da aprirsi assieme alla valvola sottostante – conviene attivare il livello ottico per tenere sotto controllo il livello dell’acqua del serbatoio
Valvola&Valvole di esclusione del livello ottico 1-2&26D&1&0&0&2&gaze + speech&Valvola carico livello ottico dell’acqua presente nel serbatoio da aprirsi assieme alla valvola soprastante – conviene attivare il livello ottico per tenere sotto controllo il livello dell’acqua del serbatoio
Valvola&Valvole scarico del livello ottico 1&26E&0&0&1&2&gaze + speech&Valvola scarico livello ottico dell’acqua presente nel serbatoio  
