Tavolo&Sbagliato&1
Tanica_Benzina&Corretto&2
Cacciavite&Corretto&1
Cartello_Accesso_Addetti&Corretto&1
Cartello_Uscita&Corretto&1
Macchia_Olio&Sbagliato&3
Pinze&Corretto&1
Parent door&Corretto&1
