Tavolo&Sbagliato&2
Tanica_Benzina&Sbagliato&1
Cacciavite&Sbagliato&2
Cartello_Accesso_Addetti&Corretto&2
Cartello_Uscita&Sbagliato&2
Macchia_Olio&Corretto&2
Pinze&Sbagliato&2
Parent door&Corretto&2
